squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
64232,3,0,1,63,9373,3,8,2005,0,1,4313,9005,956,0,7,7610393
74968,39,1,1,98,39381,8,6,2015,1,0,3653,2436,128,1,2,8097419
63506,58,0,1,19,34457,6,8,2021,0,0,2937,8852,135,1,9,5549713
33945,47,0,0,6,27939,10,4,2012,0,1,659,7141,359,0,3,3215499
66658,19,1,1,90,38045,3,7,1990,1,0,8435,2429,292,1,4,7054195
37684,36,0,1,17,39489,8,6,2012,0,1,2009,4552,757,0,1,3904563
57218,10,1,1,99,6450,10,9,1995,1,1,5930,9453,848,0,5,5883224
92860,100,1,0,11,98155,3,4,2003,1,0,6326,4748,654,0,10,8694799
46315,3,0,0,61,9047,8,3,2012,1,1,632,5792,807,1,5,5140682
35912,42,0,0,15,71019,5,8,2021,1,1,5198,5342,591,1,3,3995733
23088,21,0,1,90,91058,6,8,1993,1,0,703,852,684,1,10,2356290
105432,74,1,0,21,92029,4,2,2011,1,1,5414,1172,716,1,9,9642267
15845,31,1,0,5,7475,2,9,2008,0,0,5387,4430,374,0,4,1900195
10924,44,1,0,77,40475,8,4,2004,1,0,1745,724,582,0,0,1312718
71500,3,0,1,69,54812,10,5,2018,0,1,8871,7117,240,0,7,7946438
71142,60,1,0,67,6517,6,9,2009,1,1,4878,281,384,1,5,7585012
61851,88,0,1,6,61711,3,9,2011,1,1,3054,129,726,0,9,6429045
111210,31,1,1,16,96297,7,8,2013,1,1,3258,6296,354,1,8,9926061
38320,37,1,1,17,22818,3,1,2016,0,0,8257,2557,162,0,6,2607305
42420,43,1,1,10,80768,9,5,2017,1,1,2950,9573,572,1,5,4209214
28697,64,1,1,50,97667,3,4,2009,1,1,9862,2666,330,1,0,2905003
97160,12,0,0,78,71982,3,7,2000,0,0,7507,9056,892,1,1,9280924
37625,64,1,0,65,91690,3,2,2019,1,1,2427,717,732,0,1,3324247
31026,47,0,0,73,35331,1,4,2020,0,1,9586,6604,822,0,2,3464613
22660,51,0,0,90,87978,4,6,1993,0,0,2885,1149,904,1,4,1341053
14456,56,0,0,54,85377,5,9,2018,0,0,9982,8142,670,1,10,2057326
85434,46,0,1,3,9382,7,9,1994,0,0,615,1221,328,0,10,9513473
16068,72,1,0,14,8410,2,6,2003,1,1,3306,3635,295,0,2,635798.3
952,43,0,0,55,46144,6,5,1993,1,0,5292,8233,395,0,10,1222825
48215,7,1,1,73,20372,10,4,2016,1,1,1864,2049,558,0,5,5256240
21153,98,1,0,92,20344,2,4,1993,0,1,9799,9569,116,1,10,2596168
85095,40,1,1,54,339,3,1,2021,1,0,3056,8928,292,1,2,8571046
4451,78,0,0,79,73807,1,5,2009,1,1,6899,8997,695,0,0,1159610
101110,89,1,1,98,78155,2,5,2014,1,0,5391,897,388,0,0,9742801
78364,47,1,0,9,90254,2,9,2008,1,0,2860,3129,982,0,1,7605464
17451,29,0,0,62,66489,9,7,1993,0,1,7918,187,919,1,9,2620459
39225,87,1,0,91,73056,4,7,1998,0,0,6656,7149,698,0,3,2431818
36165,8,0,1,24,66771,7,6,1990,0,1,6679,6528,798,1,5,3626594
19429,88,0,1,49,10533,10,1,2013,1,1,4170,5501,422,0,5,1056688
95735,27,0,1,91,51803,8,10,2000,0,0,6629,435,512,0,7,8728054
62857,19,1,1,6,50801,6,2,2001,0,0,7473,796,237,1,3,6677252
79585,59,1,1,56,15574,7,9,2016,1,1,2020,7188,269,1,10,6623393
78549,29,0,1,69,53057,7,7,2000,1,0,3573,9556,918,1,8,8479710
24798,39,0,1,53,80821,6,5,1996,1,0,8113,2352,982,1,3,2893173
